Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,product description (product.metafields.custom.product_description),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
you-got-this-edition-3,You Got This Edition 3,"<div style=""text-align: center;"">
<span data-mce-fragment=""1"">A true appreciation of </span><strong data-mce-fragment=""1"">mirror wall art</strong><span data-mce-fragment=""1""> of your personal favorite styles! This is a chance to make your </span><strong data-mce-fragment=""1"">statement</strong><span data-mce-fragment=""1""> and see yourself through a <strong>polished</strong> smooth surface of what you </span><strong data-mce-fragment=""1"">love</strong><span data-mce-fragment=""1"">! </span>
</div>
<div style=""text-align: center;""><span data-mce-fragment=""1""></span></div>
<div style=""text-align: center;""><span data-mce-fragment=""1"">Mirror Exhibit products are like no other. </span></div>",MirrorExhibit,,Misc,"Apparel, Art, Bathrooms, Brand, Clothing, Decor, Definition, Definitions, Drive, Garage, Gimmick, High Fashion, Home, Luxury, Mirror, Misc, Modern, Motivational, Office, Positive, Quotes, Reference, Shoes, Wall Art",true,Size,"Small - 12"" x 12""",,Frame,Metal,,,,,,2267.96185,,0,continue,manual,139.00,189.00,true,true,,https://cdn.shopify.com/s/files/1/0551/2554/1034/files/Whitebackground_Mirror_yougotthis3.png?v=1693283823,1,"",false,,,,,,,,,,,,,,,,,,lb,,42.00,true,,,true,,,active
you-got-this-edition-3,,,,,,,,,"Small - 12"" x 12""",,,Wood,,,,,,2267.96185,,0,continue,manual,179.00,239.00,true,true,,https://cdn.shopify.com/s/files/1/0551/2554/1034/files/Livingarea_Mirror_yougotthis3.png?v=1693283823,2,"",,,,,,,,,,,,,,,,,,,lb,,55.00,,,,,,,
you-got-this-edition-3,,,,,,,,,"Medium  - 24"" x 18""",,,Metal,,,,,,6803.88555,,0,continue,manual,309.00,389.00,true,true,,https://cdn.shopify.com/s/files/1/0551/2554/1034/files/Officearea_Mirror_yougotthis3.png?v=1693283823,3,"",,,,,,,,,,,,,,,,,,,lb,,72.00,,,,,,,
you-got-this-edition-3,,,,,,,,,"Medium  - 24"" x 18""",,,Wood,,,,,,6803.88555,,0,continue,manual,359.00,429.00,true,true,,https://cdn.shopify.com/s/files/1/0551/2554/1034/files/BathroomMirror_yougotthis3.png?v=1693283823,4,"",,,,,,,,,,,,,,,,,,,lb,,86.00,,,,,,,
you-got-this-edition-3,,,,,,,,,"Large - 36"" x 24""",,,Metal,,,,,,4535.9237,,0,continue,manual,439.00,539.00,true,true,,,,,,,,,,,,,,,,,,,,,,,lb,,107.00,,,,,,,
you-got-this-edition-3,,,,,,,,,"Large - 36"" x 24""",,,Wood,,,,,,4535.9237,,0,continue,manual,499.00,599.00,true,true,,,,,,,,,,,,,,,,,,,,,,,lb,,127.00,,,,,,,
you-got-this-edition-1,You Got This Edition 1,"<div style=""text-align: center;"">
<span data-mce-fragment=""1"">A true appreciation of </span><strong data-mce-fragment=""1"">mirror wall art</strong><span data-mce-fragment=""1""> of your personal favorite styles! This is a chance to make your </span><strong data-mce-fragment=""1"">statement</strong><span data-mce-fragment=""1""> and see yourself through a <strong>polished</strong> smooth surface of what you </span><strong data-mce-fragment=""1"">love</strong><span data-mce-fragment=""1"">! </span>
</div>
<div style=""text-align: center;""><span data-mce-fragment=""1""></span></div>
<div style=""text-align: center;""><span data-mce-fragment=""1"">Mirror Exhibit products are like no other. </span></div>",MirrorExhibit,,Misc,"Apparel, Art, Bathrooms, Brand, Clothing, Decor, Definition, Definitions, Drive, Garage, Gimmick, High Fashion, Home, Luxury, Mirror, Misc, Modern, Motivational, Office, Positive, Quotes, Reference, Shoes, Wall Art",true,Size,"Small - 12"" x 12""",,Frame,Metal,,,,,,2267.96185,,0,continue,manual,139.00,189.00,true,true,,https://cdn.shopify.com/s/files/1/0551/2554/1034/files/WhitebackgroundMirror_yougothis_vertical.png?v=1693283782,1,"",false,,,,,,,,,,,,,,,,,,lb,,42.00,true,,,true,,,active
you-got-this-edition-1,,,,,,,,,"Small - 12"" x 12""",,,Wood,,,,,,2267.96185,,0,continue,manual,179.00,239.00,true,true,,https://cdn.shopify.com/s/files/1/0551/2554/1034/files/LivingAreaMirror_yougotthis_vertical.png?v=1693283782,2,"",,,,,,,,,,,,,,,,,,,lb,,55.00,,,,,,,
you-got-this-edition-1,,,,,,,,,"Medium  - 24"" x 18""",,,Metal,,,,,,6803.88555,,0,continue,manual,309.00,389.00,true,true,,https://cdn.shopify.com/s/files/1/0551/2554/1034/files/OfficeAreaMirror_yougotthis_vertical.png?v=1693283782,3,"",,,,,,,,,,,,,,,,,,,lb,,72.00,,,,,,,
you-got-this-edition-1,,,,,,,,,"Medium  - 24"" x 18""",,,Wood,,,,,,6803.88555,,0,continue,manual,359.00,429.00,true,true,,https://cdn.shopify.com/s/files/1/0551/2554/1034/files/BathroomMirror_yougotthis_vertical.png?v=1693283782,4,"",,,,,,,,,,,,,,,,,,,lb,,86.00,,,,,,,
